Organisation name,"Organisation 
type","Main, parent or 
sponsoring department:",Total Headcount
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",4789
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",991
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1605
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",256
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",36
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1077
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",18
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",5982
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1694
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1334
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2109
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",319
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1306
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",247
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",7124
