Organisation name,"Organisation 
type","Main, parent or 
sponsoring department:",Total Headcount
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",5845
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1063
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1614
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",305
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",36
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1122
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",20
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",6527
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1809
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1783
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2133
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",384
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",2090
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",259
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",7859
