Organisation name,"Organisation 
type","Main, parent or 
sponsoring department:",Total Headcount
"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",4322
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",922
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1535
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",257
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",35
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",992
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",18
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",5677
Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1647
UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1272
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",1939
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",255
UKAEA,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1091
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",198
UKRI,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",7996
